longitude,latitude,time,ssr
-13.15999984741211,35.810001373291016,2021-01-01 12:00:00,1056763.1
-13.15999984741211,35.810001373291016,2021-02-01 12:00:00,1675048.8
-13.15999984741211,35.810001373291016,2021-03-01 12:00:00,2113685.8
-13.15999984741211,35.810001373291016,2021-04-01 12:00:00,2496103.2
-13.15999984741211,35.810001373291016,2021-05-01 12:00:00,2831660.0
-13.15999984741211,35.810001373291016,2021-06-01 12:00:00,2772310.0
-13.15999984741211,35.810001373291016,2021-07-01 12:00:00,2657555.2
-13.15999984741211,35.810001373291016,2021-08-01 12:00:00,2591128.8
-13.15999984741211,35.810001373291016,2021-09-01 12:00:00,2273311.8
-13.15999984741211,35.810001373291016,2021-10-01 12:00:00,1983702.4
-13.15999984741211,35.810001373291016,2021-11-01 12:00:00,1432723.8
-13.15999984741211,35.810001373291016,2021-12-01 12:00:00,1123189.8
-13.15999984741211,35.560001373291016,2021-01-01 12:00:00,1057350.1
-13.15999984741211,35.560001373291016,2021-02-01 12:00:00,1699701.9
-13.15999984741211,35.560001373291016,2021-03-01 12:00:00,2135958.5
-13.15999984741211,35.560001373291016,2021-04-01 12:00:00,2525289.2
-13.15999984741211,35.560001373291016,2021-05-01 12:00:00,2844834.5
-13.15999984741211,35.560001373291016,2021-06-01 12:00:00,2755352.8
-13.15999984741211,35.560001373291016,2021-07-01 12:00:00,2673534.2
-13.15999984741211,35.560001373291016,2021-08-01 12:00:00,2594585.5
-13.15999984741211,35.560001373291016,2021-09-01 12:00:00,2269366.0
-13.15999984741211,35.560001373291016,2021-10-01 12:00:00,1993909.2
-13.15999984741211,35.560001373291016,2021-11-01 12:00:00,1421603.8
-13.15999984741211,35.560001373291016,2021-12-01 12:00:00,1130853.0
-13.15999984741211,35.310001373291016,2021-01-01 12:00:00,1065698.4
-13.15999984741211,35.310001373291016,2021-02-01 12:00:00,1713593.8
-13.15999984741211,35.310001373291016,2021-03-01 12:00:00,2152426.5
-13.15999984741211,35.310001373291016,2021-04-01 12:00:00,2550822.8
-13.15999984741211,35.310001373291016,2021-05-01 12:00:00,2849921.8
-13.15999984741211,35.310001373291016,2021-06-01 12:00:00,2735102.0
-13.15999984741211,35.310001373291016,2021-07-01 12:00:00,2702035.2
-13.15999984741211,35.310001373291016,2021-08-01 12:00:00,2596248.5
-13.15999984741211,35.310001373291016,2021-09-01 12:00:00,2275822.8
-13.15999984741211,35.310001373291016,2021-10-01 12:00:00,2010605.6
-13.15999984741211,35.310001373291016,2021-11-01 12:00:00,1421669.0
-13.15999984741211,35.310001373291016,2021-12-01 12:00:00,1132646.6
-13.15999984741211,35.060001373291016,2021-01-01 12:00:00,1085264.2
-13.15999984741211,35.060001373291016,2021-02-01 12:00:00,1721941.9
-13.15999984741211,35.060001373291016,2021-03-01 12:00:00,2157742.0
-13.15999984741211,35.060001373291016,2021-04-01 12:00:00,2573225.8
-13.15999984741211,35.060001373291016,2021-05-01 12:00:00,2847052.0
-13.15999984741211,35.060001373291016,2021-06-01 12:00:00,2710285.8
-13.15999984741211,35.060001373291016,2021-07-01 12:00:00,2741265.2
-13.15999984741211,35.060001373291016,2021-08-01 12:00:00,2597911.5
-13.15999984741211,35.060001373291016,2021-09-01 12:00:00,2291443.0
-13.15999984741211,35.060001373291016,2021-10-01 12:00:00,2033758.6
-13.15999984741211,35.060001373291016,2021-11-01 12:00:00,1432658.6
-13.15999984741211,35.060001373291016,2021-12-01 12:00:00,1130200.9
-13.15999984741211,34.810001373291016,2021-01-01 12:00:00,1110243.5
-13.15999984741211,34.810001373291016,2021-02-01 12:00:00,1734431.5
-13.15999984741211,34.810001373291016,2021-03-01 12:00:00,2165372.5
-13.15999984741211,34.810001373291016,2021-04-01 12:00:00,2588976.5
-13.15999984741211,34.810001373291016,2021-05-01 12:00:00,2846889.0
-13.15999984741211,34.810001373291016,2021-06-01 12:00:00,2704937.5
-13.15999984741211,34.810001373291016,2021-07-01 12:00:00,2772766.5
-13.15999984741211,34.810001373291016,2021-08-01 12:00:00,2598531.2
-13.15999984741211,34.810001373291016,2021-09-01 12:00:00,2314987.2
-13.15999984741211,34.810001373291016,2021-10-01 12:00:00,2057987.9
-13.15999984741211,34.810001373291016,2021-11-01 12:00:00,1447854.9
-13.15999984741211,34.810001373291016,2021-12-01 12:00:00,1129842.2
-13.15999984741211,34.560001373291016,2021-01-01 12:00:00,1131114.0
-13.15999984741211,34.560001373291016,2021-02-01 12:00:00,1752432.2
-13.15999984741211,34.560001373291016,2021-03-01 12:00:00,2178123.2
-13.15999984741211,34.560001373291016,2021-04-01 12:00:00,2617836.2
-13.15999984741211,34.560001373291016,2021-05-01 12:00:00,2842584.5
-13.15999984741211,34.560001373291016,2021-06-01 12:00:00,2719090.5
-13.15999984741211,34.560001373291016,2021-07-01 12:00:00,2796278.2
-13.15999984741211,34.560001373291016,2021-08-01 12:00:00,2619043.0
-13.15999984741211,34.560001373291016,2021-09-01 12:00:00,2346684.2
-13.15999984741211,34.560001373291016,2021-10-01 12:00:00,2074488.6
-13.15999984741211,34.560001373291016,2021-11-01 12:00:00,1457735.8
-13.15999984741211,34.560001373291016,2021-12-01 12:00:00,1135809.8
-13.15999984741211,34.310001373291016,2021-01-01 12:00:00,1148234.2
-13.15999984741211,34.310001373291016,2021-02-01 12:00:00,1775911.5
-13.15999984741211,34.310001373291016,2021-03-01 12:00:00,2192373.8
-13.15999984741211,34.310001373291016,2021-04-01 12:00:00,2648294.0
-13.15999984741211,34.310001373291016,2021-05-01 12:00:00,2839617.0
